name;id;calories;proteins;fat;carbohydrate;serat;kalsium;fosfor;zat_besi;natrium;kalium;tembaga;seng;vitamin_a;provitamin_a;total_karotenoid;vitamin_b1;vitamin_b2;vitamin_b3;vitamin_c;bdd;url_image;indeks_glikemik;referensi_ig;status_pencocokan_ig;klasifikasi_ig
Abon;1;280;9.2;28.4;0;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://img-cdn.medkomtek.com/PbrY9X3ignQ8sVuj_LU9UXljyew=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/7g8ceHGDNMuttlBcXEl8d/original/099726800_1605161502-Mana-yang-Lebih-Sehat-Abon-Sapi-atau-Abon-Ayam-shutterstock_1361446550.jpg;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Abon haruwan;2;513;23.7;37;21.3;0;25;25;0.5;61;15;0;0.2;0;0;0;0;0;0;0;100;https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Agar-agar;3;0;0;0.2;0;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://res.cloudinary.com/dk0z4ums3/image/upload/v1644389489/attached_image/manfaat-agar-agar-untuk-tubuh.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Akar tonjong segar;4;45;1.1;0.4;10.8;1.2;72;125;1.3;96;775;0.02;0.2;0;60;90;0.02;0.03;1.9;2;100;https://images.tokopedia.net/img/cache/200-square/product-1/2018/8/11/3052608/3052608_12e6762a-1a95-450b-8a7c-347a26dc3201_450_450.jpg;59;Amalia et al. (2011) dalam Arif et al. (2013);token(akar)→jagung bakar;Sedang
Aletoge segar;5;37;4.4;0.5;3.8;1.7;50;248;2;2;105;0.16;0.4;0;0;35;0.02;0.09;0.6;12.5;90;https://nilaigizi.com/assets/images/produk/produk_1577340236.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Alpukat segar;6;85;0.9;6.5;7.7;0;10;20;0.9;2;278;0.2;0.4;0;60;180;0.05;0.08;1;12.5;61;https://katakabar.com/assets/images/upload/news/medium_news_1594438184.jpeg;15;Waspadji et al. (2003);partial→alpukat;Rendah
Ampas kacang hijau;7;96;3.7;0.6;19.1;2.7;133;150;1.3;0;0;0;0;0;0;0;0.05;0;0;0;100;https://images.tokopedia.net/img/cache/215-square/shops-1/2016/10/16/5997149/5997149_fb399db6-c767-4ef0-ba2b-d25bc046859e.jpg;25;"Marsono (2002); Atkinson et al. (2008)";partial→kacang hijau;Rendah
Ampas Tahu;8;414;26.6;18.3;41.3;2.4;133;220;4;6;69.2;0.27;1.2;0;0;0;0.18;0.07;0.7;0;100;https://palpres.disway.id/upload/9e9c1ba592cac7270de5e48889a33523.jpeg;15;"Waspadji et al. (2003); Atkinson et al. (2008)";partial→tahu;Rendah
Ampas tahu kukus;9;75;4.1;2.1;10.7;5.1;203;60;1.3;0;0;0;0;0;0;0;0.07;0;0;0;100;https://cdns.diadona.id/diadona.id/resized/640x320/news/2020/02/26/5346/manfaat-ampas-tahu-yang-nggak-boleh-disepelekan-orang-jepang-aja-doyan-masa-kamu-ogah-ogahan-200226f.jpg;15;"Waspadji et al. (2003); Atkinson et al. (2008)";partial→tahu;Rendah
Ampas tahu mentah;10;67;5;2.1;8.1;4.1;337.5;88;1;8;184.5;0.17;0.5;0;0;0;0.06;0.02;0.1;0;100;https://cdn-image.hipwee.com/wp-content/uploads/2021/03/hipwee-FotoJet-9-750x422.jpg;15;"Waspadji et al. (2003); Atkinson et al. (2008)";partial→tahu;Rendah
Anak sapi daging gemuk segar;11;184;18.8;14;0;0;10;200;2.2;118;490.1;0.17;2.5;0;37;0;0.13;0.17;3.5;0;100;https://png.pngtree.com/png-clipart/20220124/ourmid/pngtree-a-plate-of-delicious-fat-cow-free-elements-png-image_4252411.png;56;Widowati et al. (2007) dalam Arif et al. (2013);token(anak)→beras pratanak;Sedang
Anak sapi daging kurus segar;12;174;19.6;10;0;0;11;201;2.9;96;399.8;0.14;2.5;0;30;0;0.08;0.14;3.5;0;100;https://asset.kompas.com/crops/BzqLdMzV0nYuuT_-vqxhGoDU0ag=/0x0:1000x667/780x390/data/photo/2020/11/28/5fc241d817d91.jpg;56;Widowati et al. (2007) dalam Arif et al. (2013);token(anak)→beras pratanak;Sedang
Anak sapi daging sedang segar;13;190;19.1;12;0;0;11;193;2.9;99;412.7;0.14;2.5;0;60;0;0.14;0.15;3.5;0;100;https://koran-jakarta.com/images/article/tips-memilih-daging-sapi-segar-dan-berkualitas-baik-untuk-dikonsumsi-210409135933.jpg;56;Widowati et al. (2007) dalam Arif et al. (2013);token(anak)→beras pratanak;Sedang
Andaliman segar;14;99;4.6;1;18;6.75;337.5;107;2.9;0;0;0;0;0;0;278.75;0.555;0;0;12.5;100;https://cf.shopee.co.id/file/3c033b2480e951e2634909817e417218;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Andewi;15;25;1.6;0.2;5.3;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://www.satuharapan.com/uploads/cache/news_77440_1518185146.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Anggur hutan segar;16;30;0.5;0.2;6.8;1.2;39;12;1.1;0;0;0;0;0;0;1;0.01;0;0;3;100;https://cf.shopee.co.id/file/ed7f26c6de5f13ec39e9931263ade6b9;53;"Hoerudin (2012); Atkinson et al. (2008)";partial→anggur;Rendah
Angsa;17;354;16.4;31.5;0;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cdn.idntimes.com/content-images/community/2020/06/images-11-7778c46373d99fb101fe76ba287b7cca.jpeg;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Anyang sayur;18;126;3.4;7.9;10.3;5.4;180;1;2.9;225;181;0.3;1.2;0;60;0;0.2;0;0;0;100;https://static.republika.co.id/uploads/images/inpicture_slide/anyang-_180520222511-425.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Apel;19;58;0.3;0.4;14.9;2.45;20;31;0.6;4;171.2;0.1;0.25;0;9;0;0.1;0.03;0.3;10;100;https://asset.kompas.com/crops/smfd25xgXRE3HpMLb2aamPeulYM=/21x0:1476x970/1200x800/data/photo/2022/08/30/630d7ae5d041f.jpg;39;"Hoerudin (2012); Atkinson et al. (2008)";exact;Rendah
Apel malang segar;20;57;0.5;0.4;12.8;0.8;9;18;0.6;3.6;175.4;0.75;0;0;26;278.75;0.05;0.03;0.1;5;88;https://pasarsegar.co.id/wp-content/uploads/2020/09/name-63-1.jpg;39;"Hoerudin (2012); Atkinson et al. (2008)";partial→apel;Rendah
Arbei;21;37;0.8;0.5;8.3;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://asset.kompas.com/crops/NoCuCvNGfQG6_Ct04e7Vjcabjv4=/204x0:885x454/1200x800/data/photo/2020/06/25/5ef44bb002503.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Ares sayur;22;113;0.9;7.2;11.2;4.7;63;5;1.5;225;0;0.7;2.5;0;6;0;0.1;0;0.5;0;100;https://asset-a.grid.id/crop/0x0:0x0/x/photo/2018/07/10/1764115767.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Arrowroot segar;23;102;1;0.2;24.1;1.7;28;35;1.7;36;626.6;0.2;0.8;0;15;0;0.06;0.1;2.3;2;100;https://1.bp.blogspot.com/-frPXLhHsX1o/YGH-vVXAdtI/AAAAAAAAAQc/rFFQBIqzF-sEPYUiGLOUyb-KetyM7haWACLcBGAsYHQ/s2048/IMG20210227100704.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Arwan sirsir;24;277;2.4;25;10.7;4.6;120;40;2.4;225;320;0.2;0.9;0;60;0;0.1;0.2;0;11;100;https://scontent.fcgk35-1.fna.fbcdn.net/v/t1.6435-9/121695429_676597869941401_1458702638921645964_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=a26aad&_nc_ohc=__IwAVKho7AAX9vwknv&_nc_ht=scontent.fcgk35-1.fna&oh=00_AfBzshz2zrHYSwZvSOBel1XuorFB4ySKktNdgOj7dB8Jng&oe=649DFFD5;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Asam kandis segar;25;75;0.2;1.1;16.1;3.4;63;139;2.5;93;93;0.1;0.1;0;41;0;0.01;0;0.1;0;100;https://assets.ladiestory.id/gallery/16768092331084058551-asam-kandis.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Asam masak di pohon;26;239;2.8;0.6;62.5;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://images.tokopedia.net/img/cache/700/VqbcmM/2020/8/26/6b6fe8d2-91ea-40a2-bd1d-53a147b957c1.png;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Asam payak segar;27;135;0.8;0.4;32.1;6.75;60;39;5.7;0;0;0;0;0;0;0;0;0;0;0;100;https://nilaigizi.com/assets/images/produk/produk_1537342320.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Asan kandis kering;28;261;0.9;1.6;63.3;5;192;440;4.4;26;341;0.4;0.3;0;0;0;0;0;0.4;0;100;https://nilaigizi.com/assets/images/produk/produk_1537342200.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Asinan Bogor sayuran;29;98;3.9;2.6;14.8;0.5;314;17;1.2;225;0;0;0;0;0;146;0.28;0;0;5;100;https://www.piknikdong.com/wp-content/uploads/2021/04/Resep-Asinan-Sayur-Bogor-Sederhana.jpg;15;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Ayam;30;302;18.2;25;0;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://images.ctfassets.net/1cj2ge3ast5f/4ETq9ybsnjCsGaailYLOGH/cf7db5b91c85f4ea1e309905a9679809/Ayam_Utuh.jpeg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;exact;Tidak signifikan (non-karbohidrat)
Ayam  goreng Kentuckysayap;31;297;35.9;15.2;1.6;0;103;227;4.4;225;248.4;0.06;1.4;0;0;70;0.555;0.14;3.5;0;100;https://img-global.cpcdn.com/recipes/2ecb088a495ef73a/680x482cq70/ayam-goreng-kentucky-foto-resep-utama.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam ampela goreng;32;270;32.3;11.2;9.9;0;129;314;4.9;225;0;0.12;2.5;0;0;0;0.21;0;3.5;0;100;https://cdn1-production-images-kly.akamaized.net/MldE3BInsLHr9JgPKFlsYtmbV-E=/0x344:5472x3428/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3142898/original/027275800_1591175314-shutterstock_188934800.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam dideh/darah segar;33;75;13.8;1.9;0.7;0;15;9;1.3;225;234;0;0;0;0;0;0.02;0;0.6;0;100;https://pelopor.id/wp-content/uploads/2022/03/WhatsApp-Image-2022-02-05-at-11.46.55.jpeg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam goreng church texa sayap;34;295;34;16;1.5;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://e7.pngegg.com/pngimages/66/902/png-clipart-church-s-chicken-bakery-chicken-nugget-fried-chicken-texas-chicken-church-s-chicken-bakery-thumbnail.png;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam goreng church texas dada;35;338;35.2;20.6;0.4;0;79;221;5.6;225;369.5;0.16;1.1;0;0;80;0.52;0.16;3.5;0;100;https://i0.wp.com/harga.web.id/wp-content/uploads/Harga-Texas-Chicken-Reguler-dan-Promo.jpg?fit=680%2C300&ssl=1;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam goreng kalasan paha;36;275;37.4;12.2;1.3;0;116;237;5.8;176;321.9;0.16;1.5;0;0;50;0.1;0;0;0;100;https://thumb.viva.id/intipseleb/1265x711/2022/10/21/6352aa183c0c1-resep-ayam-goreng-kalasan.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam goreng kentucky dada;37;298;34.2;16.8;0.1;0;90;284;5.5;225;342;0.07;1;0;0;50;0.19;0;0;0;100;https://awsimages.detik.net.id/community/media/visual/2021/07/07/kirim-pesan-unik-kfc-2_43.jpeg?w=1200;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam goreng Kentucky paha;38;286;32.1;16.1;1.1;0;89;248;6.9;225;265.2;0.09;2.3;0;0;20;0.5;0.21;3.5;0;100;https://img-global.cpcdn.com/recipes/d61db7c7021bcd27/680x482cq70/paha-kentucky-yummy-foto-resep-utama.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam goreng mbok berek dada;39;295;39.2;13.6;1;0;114;278;5.4;0;0;0;0;0;0;50;0.19;0;0;0;100;https://img-global.cpcdn.com/recipes/d15c8abab4246c58/680x482cq70/ayam-goreng-mbok-berek-foto-resep-utama.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam goreng paha;40;287;31;15.7;1.7;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://cdn1-production-images-kly.akamaized.net/EwEm3hoNsTm-YZSonSqX2IlcAaY=/1200x1200/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2938630/original/066858200_1571039590-shutterstock_153914045.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam goreng pasundan dada;41;246;37.9;9;0.7;0;90;260;7.5;0;0;0;0;0;0;70;0.16;0;0;0;100;https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/6-C2DTTVLGUBJ3T6-C2DTTXDVTNJXLA/detail/menueditor_item_b01be5494e6b4600867dbcbc0dcd1ed2_1607529952400513906.webp;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam goreng pasundan paha;42;245;33.1;11.4;0.3;0;90;283;7.3;0;0;0;0;0;0;40;0.37;0;0;0;100;https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/IDITE2021041504584013744/detail/menueditor_item_de1f8bfb500e483d903ccb2e25a29a7d_1618462649639007677.webp;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam goreng pioneer dada;43;295;37.4;14.7;0.6;0;108;236;6.8;0;0;0;0;0;0;80;0.1;0;0;0;100;https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/IDITE20210726121341017693/detail/menueditor_item_428cb0ea19e44146a00e1cfbef85faae_1627524568218570621.webp;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam goreng sukabumi dada;44;244;36.7;9.2;1;0;81;154;6.1;0;0;0;0;0;0;80;0.555;0;0;0;100;https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/d5baa5ea-bad6-4cc6-b6fe-a0c4a9a86979_Go-Biz_20211222_160332.jpeg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam goreng sukabumi paha;45;283;35.7;14.3;0.5;0;68;106;5.4;0;0;0;0;0;0;60;0.36;0;0;0;100;https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/60ef5b81-53d7-4375-a9a3-b7eb2aed3b2a_master-menu-item-image_1597233742745.jpg?resize=728%2C500;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam hati segar;46;261;27.4;16.1;1.6;0;118;373;8.2;225;22.9;0.75;0;0;60;278.75;0.555;0.3;3.5;0;100;https://asset.kompas.com/crops/9dZTmg32w0stodtsJ52gf85QjD4=/0x0:902x601/750x500/data/photo/2021/01/26/600f9d1967e9b.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam taliwang masakan;47;264;18.2;20.1;2.7;0;94;164;2;225;408;0.4;2.5;0;0;0;0;0;0;0;100;https://asset.kompas.com/crops/-oAqlkfrKHaqebhytdtKz-JV6ls=/4x0:1000x664/750x500/data/photo/2020/12/22/5fe16c7655542.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Ayam usus goreng;48;473;45.2;26.3;13.9;0;337.5;440;8.2;0;0;0;0;0;0;224;0.555;0;0;0;100;https://img-global.cpcdn.com/recipes/fa7c9443ce9efcb5/1200x630cq70/photo.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ayam;Tidak signifikan (non-karbohidrat)
Babat;49;113;17.6;4.2;0;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://awsimages.detik.net.id/community/media/visual/2022/05/26/resep-bacem-babat-sapi.jpeg?w=1200;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Babi daging gemuk segar;50;453;11.9;45;0;0;7;117;1.8;112;775;0.22;0.4;0;0;0;0.555;0.3;3.5;0;100;https://akcdn.detik.net.id/visual/2020/05/12/d2fe874b-b04f-41ad-bce5-84027ad803ab_169.jpeg?w=650;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Babi daging kurus segar;51;371;14.1;35;0;0;8;151;2.1;97;706.3;0.19;0.4;0;0;0;0.555;0.3;3.5;0;100;https://dialeksis.com/images/web/2022/10/daging-babi.jpeg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Babi ginjal segar;52;110;16.3;4.6;0.8;0;11;246;8;139;390;0.71;2.5;0;10;0;0.555;0.3;3.5;12.5;100;https://s1.bukalapak.com/img/6117974221/large/GINJAL_BABI___PORK_KIDNEY_.jpg;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Babi hati segar;53;129;19.7;4.8;1.7;0;10;362;8.2;110;447;0.58;0.1;0;6;0;0.4;0.3;3.5;12.5;100;https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//91/MTA-7170363/pasarbali-id_pasarbali-id_-_hati_babi_-500_gr-denpasar-_full02_fa2ryh3x.jpg;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Babi hutan masak rica masakan;54;491;24.6;16.3;0.2;0;18;144;1.2;225;327;0.2;2.5;0;0;0;0.555;0.3;0;0;100;https://img-global.cpcdn.com/recipes/3bb79acbfc908ed8/1200x630cq70/photo.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Bacang;55;102.9;3.3;2.7;16.3;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cdn1-production-images-kly.akamaized.net/dmeIqjoEQPYVHvwOwc32D8B7EcI=/1200x675/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/1495067/original/082497700_1486023784-bacang-fsui_wodpress.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Bagea kelapa asin;56;450;3.2;13.9;78.1;0;38;38;0.3;74;0;0.2;0.2;0;0;0;0.3;0;0;0;100;https://resepkoki.id/wp-content/uploads/2018/02/Resep-Kue-Bagea.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(kelapa)→minyak kelapa;Tidak signifikan (non-karbohidrat)
Bagea kelapa manis;57;452;1.3;13.8;80.6;0;38;39;0.3;75;0;0.2;0.2;0;0;0.3;0;0;0;0;100;https://s3.theasianparent.com/tap-assets-prod/wp-content/uploads/sites/24/2022/03/kue-bagea-featured-650x339.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(kelapa)→minyak kelapa;Tidak signifikan (non-karbohidrat)
Bagea kenari asin;58;529;3.2;29.1;63.6;0;38;40;0.4;74;0;0.2;0.2;0;0;0;0.3;0;0;0;100;https://images.tokopedia.net/img/cache/700/hDjmkQ/2021/10/4/73219f10-0149-4af7-b1ca-c51d90ca767b.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Bagea kenari manis;59;523;3.2;28.2;64.2;0;38;39;0.3;74;0;0.2;0.2;0;0;0;0.3;0;0;0;100;https://indonesiakaya.com/wp-content/uploads/2020/10/1__IMG_0796_CROP_Renyah_gurih_dan_manis_begitulah_kira-kira_gambaran_saat_mencicipi_kue_bagea_khas_Sulawesi_Utara.jpg;55;Amalia et al. (2011) dalam Arif et al. (2013);token(manis)→jagung manis;Sedang
Bagea kw 1;60;416;6.5;9.4;76.3;0.4;49;77;4.9;0;0;0;0;0;0;278.75;0.08;0;2.6;0;100;https://i0.wp.com/www.cakefever.com/wp-content/uploads/rsz_unknown_187780537_492967188795850_1371196946421020494_n.jpg?fit=900%2C600&ssl=1;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Bagea kw 2;61;382;0.3;3.5;87.2;0.9;172;120;7.6;0;0;0;0;0;0;0;0.02;0;0;0;100;https://images.tokopedia.net/img/cache/700/VqbcmM/2021/8/15/c5337e96-32c2-4453-98d0-cc17b08837f1.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Baje;62;129;1.9;6.6;15.6;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cf.shopee.co.id/file/91afb76cc87856ee341c0ee5970d66a9;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Bakpia kue;63;272;8.7;6.7;44.1;0.9;194;117;4.5;0;0;0;0;0;0;278.75;0.31;0.3;2.9;0;100;https://asset.kompas.com/crops/BZ6Z25Y0XcjtoHBInh10nGsMM2Q=/3x0:700x465/750x500/data/photo/2021/03/17/60514d8851d3e.jpeg;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Bakso ;64;76;4.1;2.5;9.2;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://asset.kompas.com/crops/x6OULHa8pMi47UnvDTzf1j62ov4=/3x0:700x465/750x500/data/photo/2022/08/25/6306b48bb80a1.jpeg;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Bakung segar;65;27;2;0.2;4.2;3.8;19;20;0.5;37;340;0.2;0.3;0;60;0;0.2;0.1;0.3;12.5;100;https://assets.kompasiana.com/statics/files/14145651141145946500.jpg?t=o&v=700?t=o&v=110;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Bakwan;66;280;8.2;10.2;39;3.4;204;79;7;0;0;0;0;0;0;0;0.08;0;0;0;100;https://i0.wp.com/resepkoki.id/wp-content/uploads/2019/04/Resep-Bakwan-Jagung-1.jpg?fit=1749%2C1920&ssl=1;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Baligo;67;13;0.4;0.2;3;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://rimbakita.com/wp-content/uploads/2020/08/kundur.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Bantal;68;190;3.3;0.3;43.5;3.4;9;0;0.4;164;84;0.2;0.9;0;0;0;0.27;0.02;3.5;0;100;https://cdn.idntimes.com/content-images/community/2020/11/kue-bantal-sumber-ig-at-terunededarementaram-e3a62b69fc2f582e3148201ce8d68802_600x400.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Barongko;69;159;3.1;5.8;23.5;0;35;65;1.2;46;78;0.3;0.6;0;0;0;0;0;0;0;100;https://upload.wikimedia.org/wikipedia/commons/5/5e/Barongko_hendak_dimakan.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Batang Tading;70;137;4.3;4.8;19.1;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://i0.wp.com/bukanarjuna.com/wp-content/uploads/2019/11/batang-teratai.jpg?resize=680%2C453&ssl=1;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Batar daan;71;107;2.2;2.2;19.6;0;20;30;0.6;0;90;0.1;0;0;0;0;0.18;0.02;0;0;100;https://foreignfork.com/wp-content/uploads/2020/11/Batar-daan-7-scaled.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Batatas gembili segar;72;76;1.1;0.9;16;4.2;0;40;0.2;10;200;0.2;0.3;0;0;0;0.06;0;0.9;0;85;https://cf.shopee.co.id/file/b49af4eb7afe41c41e9246a0005b843f;65;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Batatas kelapa ubi bakar;73;110;1.4;1.1;23.4;4.5;1;46;0.2;12;230;0.2;0.3;0;0;0;0.555;0;0;0;85;https://img-global.cpcdn.com/recipes/95d754afdf8eb1f2/1200x630cq70/photo.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(kelapa)→minyak kelapa;Tidak signifikan (non-karbohidrat)
Batatas kelapa ubi kukus;74;92;1.2;0.3;21;4.1;0;42;0.2;10;209;0.2;0.3;0;0;0;0.28;0;0.7;0;100;https://img-global.cpcdn.com/recipes/9f91679fd1ba49f0/680x482cq70/singkong-kukus-toping-kelapa-parut-foto-resep-utama.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(kelapa)→minyak kelapa;Tidak signifikan (non-karbohidrat)
Batatas kelapa ubi segar;75;89;1.1;0.1;21;4;0;40;0.2;20;340;0.1;0.2;0;0;0;0.38;0;0.9;0;85;https://th.bing.com/th?id=ABTE8B1595CD1C0C5A990C01CE78BE64402674F61A3C217A9FF9CCB31D6F7E9E29A&w=1144&h=568&c=1;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(kelapa)→minyak kelapa;Tidak signifikan (non-karbohidrat)
Batatas tali ubi rebus;76;182;2.4;0.4;42.2;6.75;1;80;0.3;20;402;0.3;0.6;0;0;0;0.27;0;1.3;0;100;https://img-global.cpcdn.com/recipes/f9664da25cda52e4/1200x630cq70/photo.jpg;75;Atkinson et al. (2008);token(rebus)→singkong rebus;Tinggi
Bawang Bombay;77;45;1.4;0.2;10.3;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://res.cloudinary.com/dk0z4ums3/image/upload/v1621837004/attached_image/berbagai-nutrisi-di-balik-manfaat-bombay.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
